Row Labels,Sum of population
6498,17976
6510,7566
6511,107372
6512,80807
6513,61594
6514,53389
6515,35352
6516,85915
6517,40892
6518,39741
6519,34661
6524,15132
6525,23709
6604,36431
6605,52859
6606,51358
6607,16535
6608,28963
6610,49375
6611,55567
6612,16559
6614,37047
6615,30852
6702,4739
6704,65905
6705,57497
6706,9165
6708,35826
6710,29154
6712,15217
6716,7765
6750,2422
6751,3604
6752,4529
6754,3529
6755,1407
6756,7959
6757,6350
6758,372
6759,11600
6762,16465
6763,2157
6770,70192
6776,61475
6777,4742
6778,1520
6779,22419
6782,5867
6783,2686
6784,7856
6785,761
6786,11234
6787,5881
6790,77041
6791,8866
6793,2400
6794,2977
6795,23009
6796,2495
6798,20726
6801,47823
6804,39031
6807,7781
6810,109019
6811,33293
6812,21706
6820,45934
6824,72787
6825,25611
6830,67215
6831,24117
6840,50031
6850,40498
6851,45214
6853,8012
6854,61653
6855,5719
6856,5
6870,11197
6877,63875
6878,8269
6880,54848
6883,26990
6890,4732
6896,20171
6897,38597
6901,18163
6902,165451
6903,24029
6905,42571
6906,26100
6907,20461
7001,22603
7002,75368
7003,121723
7004,19947
7005,39592
7006,31391
7008,47734
7009,25007
7010,62252
7011,60029
7012,29827
7013,59067
7014,8336
7016,36367
7017,81956
7018,77717
7020,24861
7021,1471
7022,28802
7023,15718
7024,60634
7026,65160
7027,9153
7028,8051
7029,17346
7030,88389
7031,14715
7032,80203
7033,8508
7034,9598
7035,27838
7036,45951
7039,62835
7040,51169
7041,17588
7042,30616
7043,24174
7044,16671
7045,7088
7046,9207
7047,125944
7050,82827
7052,119447
7054,62264
7055,179264
7057,19125
7058,15049
7059,41154
7060,56105
7062,22328
7063,29154
7064,9309
7065,45898
7066,24442
7067,31614
7068,12853
7069,5057
7070,39307
7071,53366
7072,13698
7073,10823
7074,2679
7075,16269
7076,50989
7077,5690
7078,34179
7079,35250
7080,49145
7081,24995
7082,6459
7083,112864
7086,27326
7087,47602
7088,9607
7090,54748
7092,13890
7093,129420
7094,33787
7095,51579
7102,14772
7103,38267
7104,59038
7105,101184
7106,83350
7107,63714
7108,64714
7109,54880
7110,43921
7111,46536
7112,45183
7114,37339
7201,57135
7202,110450
7203,58593
7204,16046
7205,37124
7206,31197
7208,85714
7302,66198
7304,64049
7305,137275
7306,59177
7307,78925
7310,19158
7311,1172
7401,14919
7403,11142
7405,28620
7407,41942
7410,68728
7416,10273
7417,22725
7418,3796
7419,9744
7420,5694
7421,19113
7422,18576
7423,5919
7424,30068
7430,56095
7432,15982
7435,6584
7436,12028
7438,18863
7439,2583
7440,12322
7442,9986
7444,22001
7446,39708
7450,44566
7452,29974
7456,25758
7457,7593
7458,30433
7460,9689
7461,31979
7462,11205
7463,26589
7465,12320
7470,56148
7480,16542
7481,29983
7495,0
7501,39276
7502,33319
7503,48144
7504,34321
7505,4784
7506,22205
7508,16682
7512,28409
7513,13866
7514,31403
7522,23438
7524,33069
7601,94292
7603,9820
7604,33101
7605,18710
7606,4016
7607,14199
7608,65
7620,4873
7621,43528
7624,14569
7626,9900
7627,10714
7628,37534
7630,19148
7631,42372
7632,14113
7640,7708
7641,8771
7642,27801
7643,18024
7644,38989
7645,21410
7646,34454
7647,14092
7648,4449
7649,16811
7650,33507
7652,68574
7656,19325
7657,16825
7660,29143
7661,29572
7662,12179
7663,30305
7666,90599
7670,37742
7675,67568
7676,9160
7677,12821
7701,52075
7702,5981
7703,480
7704,17017
7711,3088
7712,64154
7716,17058
7717,4220
7718,16481
7719,45644
7720,9183
7721,8165
7722,26948
7723,2708
7724,13771
7726,117187
7727,14960
7728,154652
7730,30734
7731,46849
7732,10724
7733,18965
7734,15220
7735,30518
7737,6890
7738,12817
7739,15940
7740,83136
7746,49172
7747,48632
7748,59394
7750,7428
7751,42162
7753,62603
7755,13397
7756,6761
7757,11706
7758,10425
7760,24097
7762,22803
7764,21737
7801,37652
7803,3641
7820,28
7821,10142
7822,1472
7823,3803
7825,19740
7826,17046
7827,2737
7828,23740
7830,7560
7832,6072
7833,251
7834,37795
7836,11752
7838,1720
7840,33735
7842,121
7843,33140
7846,193
7847,4438
7848,5347
7849,13981
7850,13785
7851,262
7852,7652
7853,22459
7856,8739
7857,5461
7860,29393
7863,9599
7865,3666
7866,39054
7869,62626
7870,44
7871,45629
7874,14366
7876,24187
7878,1447
7880,513
7881,39
7882,29976
7885,19416
7901,35985
7920,43008
7921,15911
7922,18248
7924,16002
7926,306
7927,7594
7928,51524
7930,21254
7931,3485
7932,21785
7933,6795
7934,3140
7935,686
7936,24507
7939,660
7940,47838
7945,21239
7946,8594
7950,40351
7960,89177
7961,12
7970,127
7974,30306
7976,1875
7977,1815
7979,1521
7980,3609
7981,9268
8001,1371
8002,48494
8003,69850
8004,8709
8005,46777
8006,1097
8007,8662
8008,18295
8009,20790
8010,13904
8011,84
8012,109443
8014,847
8015,36502
8016,19742
8019,556
8020,3685
8021,98702
8022,23131
8023,1194
8026,4862
8027,10628
8028,42842
8029,13632
8030,36747
8031,24259
8033,36530
8034,39741
8035,12572
8036,6447
8037,66132
8038,207
8039,310
8041,2220
8042,330
8043,50033
8045,6393
8046,69719
8048,33127
8049,8798
8050,64984
8051,11710
8052,31871
8053,75442
8054,30852
8055,70784
8056,11953
8057,43651
8059,9090
8060,56368
8061,3079
8062,35053
8063,7950
8064,178
8065,19632
8066,18429
8067,3489
8068,17800
8069,23049
8070,15585
8071,10433
8072,481
8073,530
8074,151
8075,61446
8077,20151
8078,22620
8079,16035
8080,77476
8081,104871
8083,23810
8084,11701
8085,37666
8086,4156
8087,27194
8088,37642
8089,11004
8090,5335
8091,14469
8092,7959
8093,11458
8094,104719
8095,615
8096,63001
8097,3829
8098,23684
8102,12357
8103,34806
8104,38611
8105,81016
8106,25156
8107,29950
8108,37211
8109,56914
8110,22795
8201,21354
8202,1750
8203,25066
8204,40806
8205,46311
8210,29550
8212,303
8215,36603
8217,76
8221,4547
8223,10656
8224,1218
8225,23129
8226,15361
8230,9100
8232,38762
8234,91247
8240,3775
8241,2866
8242,8458
8243,5692
8244,12933
8246,162
8247,2495
8248,410
8251,22658
8260,22561
8270,9814
8302,123444
8310,1944
8311,4583
8312,20596
8314,4010
8316,388
8317,2171
8318,34153
8319,2716
