,RegionName,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,Average2022
95,30143.0,339874.0,350678.0,355637.0,361033.0,363578.0,370187.0,376306.0,382603.0,382649.0,387864.0,393276.0,394199.0,371490.3333333333
96,30234.0,200932.0,207163.0,210470.0,213470.0,215634.0,219423.0,223086.0,226437.0,228075.0,230086.0,230923.0,232291.0,219832.5
97,30022.0,579941.0,595765.0,605877.0,618838.0,630614.0,645030.0,654582.0,656258.0,658256.0,657231.0,660448.0,662464.0,635442.0
98,30238.0,216269.0,224111.0,231732.0,236830.0,242316.0,247738.0,250959.0,250734.0,245494.0,242062.0,241542.0,242649.0,239369.66666666666
99,30144.0,351520.0,359546.0,369541.0,377054.0,383425.0,386691.0,388682.0,389352.0,389463.0,389303.0,389835.0,389088.0,380291.6666666667
100,30152.0,425026.0,433883.0,445641.0,454772.0,463093.0,466824.0,468835.0,468918.0,468461.0,468351.0,468859.0,467527.0,458349.1666666667
101,30145.0,260038.0,264224.0,268284.0,271420.0,276749.0,282489.0,287522.0,291102.0,293685.0,295698.0,296738.0,297108.0,282088.0833333333
102,30044.0,326281.0,331328.0,337851.0,347518.0,356531.0,362020.0,361818.0,360745.0,359587.0,359355.0,359342.0,357679.0,351671.25
103,30043.0,379332.0,385221.0,392354.0,402597.0,412186.0,418005.0,417617.0,415941.0,414402.0,414333.0,414710.0,412959.0,406638.0833333333
104,30046.0,317285.0,322407.0,328511.0,337494.0,346064.0,351448.0,351687.0,350850.0,349594.0,349270.0,349000.0,347531.0,341761.75
105,30045.0,369011.0,374942.0,382084.0,392119.0,401721.0,407688.0,407700.0,406201.0,404826.0,404779.0,405204.0,403191.0,396622.1666666667
106,30047.0,359251.0,364324.0,370422.0,379597.0,388185.0,393361.0,392062.0,389907.0,387947.0,387704.0,387885.0,385942.0,382215.5833333333
107,30122.0,261354.0,267113.0,271683.0,276331.0,281143.0,286749.0,289154.0,292678.0,292831.0,293649.0,292069.0,292020.0,283064.5
108,30058.0,235216.0,241546.0,247155.0,252145.0,257324.0,262710.0,266294.0,268699.0,268940.0,269416.0,269838.0,271334.0,259218.08333333334
